ExperimentName	HCPID	RunNumber	Subject	Session	RandomSeed	Group	Laptop.RefreshRate	ScannerD2.RefreshRate	StudioVersion	RuntimeVersion	RuntimeVersionExpected	ExperimentVersion	triggercode	Allowed	RememberResp	KnowResp	NewResp	FontStyle	OldResp	StimuliDir	IntroButtonMap.OnsetDelay	IntroButtonMap.OnsetTime	IntroButtonMap.DurationError	IntroButtonMap.Duration	IntroButtonMap.StartTime	IntroButtonMap.FinishTime	IntroButtonMap.RESP	IntroButtonMap.OnsetToOnsetTime	GetReady.OnsetDelay	GetReady.OnsetTime	GetReady.DurationError	GetReady.Duration	GetReady.StartTime	GetReady.FinishTime	GetReady.RESP	GetReady.OnsetToOnsetTime	ACC_For_NewPlace	ACC_For_NewFace	Percent_Of_OldFace_Rated_As_Know	Percent_Of_OldFace_Rated_As_Remember	Percent_Of_OldPlace_Rated_As_Know	Percent_Of_OldPlace_Rated_As_Remember	Avg_RT_For_New_RESP_To_NewPlace	Avg_RT_For_New_RESP_To_NewFace	Avg_RT_For_Know_RESP_To_OldPlace	Avg_RT_For_Know_RESP_To_OldFace	Avg_RT_For_Remember_RESP_To_OldPlace	Avg_RT_For_Remember_RESP_To_OldFace	FeelFreeToRest.OnsetDelay	FeelFreeToRest.OnsetTime	FeelFreeToRest.DurationError	FeelFreeToRest.StartTime	FeelFreeToRest.OnsetToOnsetTime	ReadyList	Procedure	Stimulus	SyncSlideDur	ReadyList.Cycle	ReadyList.Sample	Running	SyncSlide.OnsetDelay	SyncSlide.OnsetTime	SyncSlide.DurationError	SyncSlide.Duration	SyncSlide.StartTime	SyncSlide.FinishTime	SyncSlide.RESP	SyncSlide.OnsetToOnsetTime	Run1	StimType	VFDuration	SessionSelectionList	RunNumberFilterValue	SessionSelectionList.Cycle	SessionSelectionList.Sample	PreStimFix.OnsetDelay	PreStimFix.OnsetTime	PreStimFix.DurationError	PreStimFix.Duration	PreStimFix.StartTime	PreStimFix.FinishTime	PreStimFix.OnsetToOnsetTime	Stim.OnsetDelay	Stim.OnsetTime	Stim.DurationError	Stim.Duration	Stim.StartTime	Stim.FinishTime	Stim.RTTime	Stim.ACC	Stim.RT	Stim.RESP	Stim.CRESP	Stim.OnsetToOnsetTime	Fix.OnsetDelay	Fix.OnsetTime	Fix.DurationError	Fix.Duration	Fix.StartTime	Fix.FinishTime	Fix.OnsetToOnsetTime	Block
REC090512	103111_fnca	2	1	1	-1143936076	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.195	7	123	1	2	3	Verdana	12	REC Stimuli\	39	6144	-999999	-1	6105	6604	{SPACE}	0	20	6624	-21	2000	6605	8503	""	1986	0.583333333333333	0.666666666666667	42.8571428571429	57.1428571428571	11.1111111111111	88.8888888888889	1142	1239.125	1928	1699	1070.375	908.75	12	208170	-999999	208160	0		RecMemTrialsPROC	FC_015_M8.png				SessionSelectionList										oldface	3000	2	2	2	33	12	143982	3	1000	143971	143985	1000	12	144982	-1	2000	143995	146981	147186	1	2204	2	12	2013	13	146995	-14	1000	146981	147981	0	37
REC090512	103111_fnca	2	1	1	-1143936076	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.195	7	123	1	2	3	Verdana	12	REC Stimuli\	39	6144	-999999	-1	6105	6604	{SPACE}	0	20	6624	-21	2000	6605	8503	""	1986	0.583333333333333	0.666666666666667	42.8571428571429	57.1428571428571	11.1111111111111	88.8888888888889	1142	1239.125	1928	1699	1070.375	908.75	12	208170	-999999	208160	0		RecMemTrialsPROC	PL_025_SCENE_18.png				SessionSelectionList										oldplace	2000	2	2	2	34	12	147994	3	1000	147983	147997	1000	12	148994	-1	2000	148006	150993	150209	1	1215	1	12	2012	12	151006	-13	1000	150993	151993	0	38
REC090512	103111_fnca	2	1	1	-1143936076	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.195	7	123	1	2	3	Verdana	12	REC Stimuli\	39	6144	-999999	-1	6105	6604	{SPACE}	0	20	6624	-21	2000	6605	8503	""	1986	0.583333333333333	0.666666666666667	42.8571428571429	57.1428571428571	11.1111111111111	88.8888888888889	1142	1239.125	1928	1699	1070.375	908.75	12	208170	-999999	208160	0		RecMemTrialsPROC	PL_018_SCENE_04.png				SessionSelectionList										oldplace	3000	2	2	2	35	12	152006	2	1000	151995	152008	1000	12	153006	-1	2000	152018	155005	153881	1	875	1	12	2012	12	155018	-13	1000	155005	156005	0	39
REC090512	103111_fnca	2	1	1	-1143936076	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.195	7	123	1	2	3	Verdana	12	REC Stimuli\	39	6144	-999999	-1	6105	6604	{SPACE}	0	20	6624	-21	2000	6605	8503	""	1986	0.583333333333333	0.666666666666667	42.8571428571429	57.1428571428571	11.1111111111111	88.8888888888889	1142	1239.125	1928	1699	1070.375	908.75	12	208170	-999999	208160	0		RecMemTrialsPROC	F82.bmp				SessionSelectionList										newface	1000	2	2	2	36	12	156018	2	1000	156007	156020	999	11	157017	-1	2000	156023	159016	158121	1	1104	3	3	2013	13	159030	-14	1000	159016	160016	0	40
REC090512	103111_fnca	2	1	1	-1143936076	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.195	7	123	1	2	3	Verdana	12	REC Stimuli\	39	6144	-999999	-1	6105	6604	{SPACE}	0	20	6624	-21	2000	6605	8503	""	1986	0.583333333333333	0.666666666666667	42.8571428571429	57.1428571428571	11.1111111111111	88.8888888888889	1142	1239.125	1928	1699	1070.375	908.75	12	208170	-999999	208160	0		RecMemTrialsPROC	F67.bmp				SessionSelectionList										newface	0	2	2	2	37	12	160029	3	1000	160018	160032	1000	12	161029	-1	2000	160035	163028	162129	0	1100	1	3	2013	13	163042	-14	1000	163028	164028	0	41
REC090512	103111_fnca	2	1	1	-1143936076	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.195	7	123	1	2	3	Verdana	12	REC Stimuli\	39	6144	-999999	-1	6105	6604	{SPACE}	0	20	6624	-21	2000	6605	8503	""	1986	0.583333333333333	0.666666666666667	42.8571428571429	57.1428571428571	11.1111111111111	88.8888888888889	1142	1239.125	1928	1699	1070.375	908.75	12	208170	-999999	208160	0		RecMemTrialsPROC	scene14.jpg				SessionSelectionList										newplace	0	2	2	2	38	12	164041	2	1000	164030	164043	1000	12	165041	-1	2000	164048	167040	165977	1	936	3	3	2012	12	167053	-13	1000	167040	168040	0	42
REC090512	103111_fnca	2	1	1	-1143936076	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.195	7	123	1	2	3	Verdana	12	REC Stimuli\	39	6144	-999999	-1	6105	6604	{SPACE}	0	20	6624	-21	2000	6605	8503	""	1986	0.583333333333333	0.666666666666667	42.8571428571429	57.1428571428571	11.1111111111111	88.8888888888889	1142	1239.125	1928	1699	1070.375	908.75	12	208170	-999999	208160	0		RecMemTrialsPROC	FC_021_M11.png				SessionSelectionList										oldface	4000	2	2	2	39	12	168053	2	1000	168042	168055	999	11	169052	-1	2000	168065	171051	170025	1	973	1	12	2013	13	171065	-14	1000	171051	172051	0	43
REC090512	103111_fnca	2	1	1	-1143936076	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.195	7	123	1	2	3	Verdana	12	REC Stimuli\	39	6144	-999999	-1	6105	6604	{SPACE}	0	20	6624	-21	2000	6605	8503	""	1986	0.583333333333333	0.666666666666667	42.8571428571429	57.1428571428571	11.1111111111111	88.8888888888889	1142	1239.125	1928	1699	1070.375	908.75	12	208170	-999999	208160	0		RecMemTrialsPROC	92039.jpg				SessionSelectionList										newplace	4000	2	2	2	40	13	172065	2	1000	172053	172067	999	12	173064	-1	2000	172072	175063	173873	0	809	1	3	2013	13	175077	-14	1000	175063	176063	0	44
REC090512	103111_fnca	2	1	1	-1143936076	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.195	7	123	1	2	3	Verdana	12	REC Stimuli\	39	6144	-999999	-1	6105	6604	{SPACE}	0	20	6624	-21	2000	6605	8503	""	1986	0.583333333333333	0.666666666666667	42.8571428571429	57.1428571428571	11.1111111111111	88.8888888888889	1142	1239.125	1928	1699	1070.375	908.75	12	208170	-999999	208160	0		RecMemTrialsPROC	M59.bmp				SessionSelectionList										newface	3000	2	2	2	41	12	176076	3	1000	176065	176079	1000	12	177076	-1	2000	176082	179075	177849	1	773	3	3	2013	13	179089	-14	1000	179075	180075	0	45
REC090512	103111_fnca	2	1	1	-1143936076	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.195	7	123	1	2	3	Verdana	12	REC Stimuli\	39	6144	-999999	-1	6105	6604	{SPACE}	0	20	6624	-21	2000	6605	8503	""	1986	0.583333333333333	0.666666666666667	42.8571428571429	57.1428571428571	11.1111111111111	88.8888888888889	1142	1239.125	1928	1699	1070.375	908.75	12	208170	-999999	208160	0		RecMemTrialsPROC	PL_019_SCENE_05.png				SessionSelectionList										oldplace	4000	2	2	2	42	12	180088	2	1000	180077	180090	1000	12	181088	-1	2000	180099	183087	182249	1	1161	1	12	2012	12	183100	-13	1000	183087	184087	0	46
REC090512	103111_fnca	2	1	1	-1143936076	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.195	7	123	1	2	3	Verdana	12	REC Stimuli\	39	6144	-999999	-1	6105	6604	{SPACE}	0	20	6624	-21	2000	6605	8503	""	1986	0.583333333333333	0.666666666666667	42.8571428571429	57.1428571428571	11.1111111111111	88.8888888888889	1142	1239.125	1928	1699	1070.375	908.75	12	208170	-999999	208160	0		RecMemTrialsPROC	PL_016_SCENE_02.png				SessionSelectionList										oldplace	2000	2	2	2	43	12	184100	1	1000	184089	184101	999	11	185099	-1	2000	184110	187098	186233	0	1134	3	12	2013	13	187112	-14	1000	187098	188098	0	47
REC090512	103111_fnca	2	1	1	-1143936076	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.195	7	123	1	2	3	Verdana	12	REC Stimuli\	39	6144	-999999	-1	6105	6604	{SPACE}	0	20	6624	-21	2000	6605	8503	""	1986	0.583333333333333	0.666666666666667	42.8571428571429	57.1428571428571	11.1111111111111	88.8888888888889	1142	1239.125	1928	1699	1070.375	908.75	12	208170	-999999	208160	0		RecMemTrialsPROC	M52.bmp				SessionSelectionList										newface	2000	2	2	2	44	13	188112	2	1000	188100	188114	999	12	189111	-1	2000	188117	191110	190593	0	1482	1	3	2013	13	191124	-14	1000	191110	192110	0	48
REC090512	103111_fnca	2	1	1	-1143936076	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.195	7	123	1	2	3	Verdana	12	REC Stimuli\	39	6144	-999999	-1	6105	6604	{SPACE}	0	20	6624	-21	2000	6605	8503	""	1986	0.583333333333333	0.666666666666667	42.8571428571429	57.1428571428571	11.1111111111111	88.8888888888889	1142	1239.125	1928	1699	1070.375	908.75	12	208170	-999999	208160	0		RecMemTrialsPROC	92042.jpg				SessionSelectionList										newplace	2000	2	2	2	45	12	192123	3	1000	192112	192126	1000	12	193123	-1	2000	192130	195122	194089	0	966	1	3	2012	12	195135	-13	1000	195122	196122	0	49
REC090512	103111_fnca	2	1	1	-1143936076	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.195	7	123	1	2	3	Verdana	12	REC Stimuli\	39	6144	-999999	-1	6105	6604	{SPACE}	0	20	6624	-21	2000	6605	8503	""	1986	0.583333333333333	0.666666666666667	42.8571428571429	57.1428571428571	11.1111111111111	88.8888888888889	1142	1239.125	1928	1699	1070.375	908.75	12	208170	-999999	208160	0		RecMemTrialsPROC	p51.1.jpg				SessionSelectionList										newplace	1000	2	2	2	46	12	196135	2	1000	196124	196137	1000	12	197135	-1	2000	196143	199134	198113	1	978	3	3	2012	12	199147	-13	1000	199134	200134	0	50
REC090512	103111_fnca	2	1	1	-1143936076	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.195	7	123	1	2	3	Verdana	12	REC Stimuli\	39	6144	-999999	-1	6105	6604	{SPACE}	0	20	6624	-21	2000	6605	8503	""	1986	0.583333333333333	0.666666666666667	42.8571428571429	57.1428571428571	11.1111111111111	88.8888888888889	1142	1239.125	1928	1699	1070.375	908.75	12	208170	-999999	208160	0		RecMemTrialsPROC	FC_023_M12.png				SessionSelectionList										oldface	1000	2	2	2	47	12	200147	2	1000	200136	200149	999	11	201146	-1	2000	200159	203145	201857	1	711	1	12	2013	13	203159	-14	1000	203145	204145	0	51
REC090512	103111_fnca	2	1	1	-1143936076	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.195	7	123	1	2	3	Verdana	12	REC Stimuli\	39	6144	-999999	-1	6105	6604	{SPACE}	0	20	6624	-21	2000	6605	8503	""	1986	0.583333333333333	0.666666666666667	42.8571428571429	57.1428571428571	11.1111111111111	88.8888888888889	1142	1239.125	1928	1699	1070.375	908.75	12	208170	-999999	208160	0		RecMemTrialsPROC	FC_013_M7.png				SessionSelectionList										oldface	0	2	2	2	48	13	204159	2	1000	204147	204161	999	12	205158	-1	2000	204171	207157	206017	1	859	1	12	2013	13	207171	-14	1000	207157	208157	0	52
