ExperimentName	HCPID	RunNumber	Subject	Session	RandomSeed	Group	Laptop.RefreshRate	ScannerD2.RefreshRate	StudioVersion	RuntimeVersion	RuntimeVersionExpected	ExperimentVersion	triggercode	Allowed	Target	Nontarget	FontStyle	RunTrialNumber[Session]	TrialsPerRun[Session]	TotalRespGreater200[Session]	ConsecRTLess200[Session]	ConsecNonResp[Session]	StimuliDir	ACC_2_Back_Body	Avg_RT_For_Correct_Trials_2_Back_Body	ACC_0_Back_Body	Avg_RT_For_Correct_Trials_0_Back_Body	ACC_2_Back_Face	Avg_RT_For_Correct_Trials_2_Back_Face	ACC_0_Back_Face	Avg_RT_For_Correct_Trials_0_Back_Face	ACC_2_Back_Place	Avg_RT_For_Correct_Trials_2_Back_Place	ACC_0_Back_Place	Avg_RT_For_Correct_Trials_0_Back_Place	ACC_2_Back_Tools	Avg_RT_For_Correct_Trials_2_Back_Tools	ACC_0_Back_Tools	Avg_RT_For_Correct_Trials_0_Back_Tools	ExpInstrucFeelFreeToRest.OnsetDelay	ExpInstrucFeelFreeToRest.OnsetTime	ExpInstrucFeelFreeToRest.DurationError	ExpInstrucFeelFreeToRest.StartTime	ExpInstrucFeelFreeToRest.OnsetToOnsetTime	FeelFreeToRest.OnsetDelay	FeelFreeToRest.OnsetTime	FeelFreeToRest.DurationError	FeelFreeToRest.StartTime	FeelFreeToRest.OnsetToOnsetTime	SessionSelectionList	Procedure[Block]	Stimulus[Block]	RunNumberFilterValue	SessionSelectionList.Cycle	SessionSelectionList.Sample	Running[Block]	IntroButtonMap.OnsetDelay	IntroButtonMap.OnsetTime	IntroButtonMap.DurationError	IntroButtonMap.OnsetToOnsetTime	GetReady.OnsetDelay	GetReady.OnsetTime	GetReady.DurationError	GetReady.OnsetToOnsetTime	Cue2Back.OnsetDelay	Cue2Back.OnsetTime	Cue2Back.DurationError	Cue2Back.OnsetToOnsetTime	Run1Block1	TargetType	CorrectResponse	StimType	BlockType	RunTrialNumber[Block]	TrialsPerRun[Block]	TotalRespGreater200[Block]	ConsecRTLess200[Block]	ConsecNonResp[Block]	ControlAcc	ConsecSameResp	ExperimenterWindow.OnsetDelay	ExperimenterWindow.OnsetTime	ExperimenterWindow.DurationError	ExperimenterWindow.OnsetToOnsetTime	Stim.OnsetDelay	Stim.OnsetTime	Stim.DurationError	Stim.RTTime	Stim.ACC	Stim.RT	Stim.RESP	Stim.CRESP	Stim.OnsetToOnsetTime	Fix.OnsetDelay	Fix.OnsetTime	Fix.DurationError	Fix.OnsetToOnsetTime	CueTarget.OnsetDelay	CueTarget.OnsetTime	CueTarget.DurationError	CueTarget.OnsetToOnsetTime	Run1Block2	Fix15sec.OnsetDelay	Fix15sec.OnsetTime	Fix15sec.DurationError	Fix15sec.OnsetToOnsetTime	Run1Block3	Run1Block4	Run1Block5	Run1Block6	Run1Block7	Run1Block8	Block	Procedure[Trial]	Stimulus[Trial]	ReadyList	Running[Trial]	ReadyList.Cycle	ReadyList.Sample	SyncSlide.OnsetDelay	SyncSlide.OnsetTime	SyncSlide.DurationError	SyncSlide.FinishTime	SyncSlide.OnsetToOnsetTime	Trial
WM080112	103111_fnca	2	1	1	-151089282	1	75.030	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	878.6	1	726.1	1	1068	1	552.6	1	893.4	1	671.4	0.9	743.555555555556	1	624.2	12	315912	3	315901	27	39	315939	-999999	315915	0	24	TrialsPROC	TO_018_TOOL18_BA.png	2	2	8	SessionSelectionList														nonlure	3	Tools	2-Back	7	80	6	0	0	0	1	39	48073	2	14	59	46034	-1	46794	1	760	3	3	2039	53	48087	-54	0																8												
WM080112	103111_fnca	2	1	1	-151089282	1	75.030	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	878.6	1	726.1	1	1068	1	552.6	1	893.4	1	671.4	0.9	743.555555555556	1	624.2	12	315912	3	315901	27	39	315939	-999999	315915	0	24	TrialsPROC	TO_017_TOOL17_BA.png	2	2	9	SessionSelectionList														nonlure	3	Tools	2-Back	8	80	7	0	0	0	2	39	50632	2	14	59	48593	-1	49296	1	703	3	3	2039	53	50646	-54	0																9												
WM080112	103111_fnca	2	1	1	-151089282	1	75.030	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	878.6	1	726.1	1	1068	1	552.6	1	893.4	1	671.4	0.9	743.555555555556	1	624.2	12	315912	3	315901	27	39	315939	-999999	315915	0	24	TrialsPROC	TO_018_TOOL18_BA.png	2	2	10	SessionSelectionList														target	2	Tools	2-Back	9	80	8	0	0	0	1	39	53191	2	14	59	51152	-1	51655	1	503	2	2	2039	53	53205	-54	0																10												
WM080112	103111_fnca	2	1	1	-151089282	1	75.030	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	878.6	1	726.1	1	1068	1	552.6	1	893.4	1	671.4	0.9	743.555555555556	1	624.2	12	315912	3	315901	27	39	315939	-999999	315915	0	24	TrialsPROC	TO_015_TOOL15_BA.png	2	2	11	SessionSelectionList														nonlure	3	Tools	2-Back	10	80	9	0	0	0	1	39	55750	2	14	59	53711	-1	54428	1	717	3	3	2039	53	55764	-54	0																11												
WM080112	103111_fnca	2	1	1	-151089282	1	75.030	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	878.6	1	726.1	1	1068	1	552.6	1	893.4	1	671.4	0.9	743.555555555556	1	624.2	12	315912	3	315901	27	39	315939	-999999	315915	0	24	TrialsPROC	TO_017_TOOL17_BA.png	2	2	12	SessionSelectionList														lure	3	Tools	2-Back	11	80	10	0	0	0	1	39	58309	1	14	59	56270	-1	57360	0	1090	2	3	2039	53	58323	-54	0																12												
WM080112	103111_fnca	2	1	1	-151089282	1	75.030	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	878.6	1	726.1	1	1068	1	552.6	1	893.4	1	671.4	0.9	743.555555555556	1	624.2	12	315912	3	315901	27	39	315939	-999999	315915	0	25	Cue0BackPROC	BP_013_BP7_BA.png	2	2	13	SessionSelectionList																																										19	58789	-20	0												13												
WM080112	103111_fnca	2	1	1	-151089282	1	75.030	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	878.6	1	726.1	1	1068	1	552.6	1	893.4	1	671.4	0.9	743.555555555556	1	624.2	12	315912	3	315901	27	39	315939	-999999	315915	0	26	TrialsPROC	BP_015_H10-T_BA.png	2	2	14	SessionSelectionList														nonlure	3	Body	0-Back	12	80	11	0	0	100	1	38	63360	2	14	52	61322	-1	62510	1	1188	3	3	2038	52	63374	-53	0																14												
WM080112	103111_fnca	2	1	1	-151089282	1	75.030	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	878.6	1	726.1	1	1068	1	552.6	1	893.4	1	671.4	0.9	743.555555555556	1	624.2	12	315912	3	315901	27	39	315939	-999999	315915	0	26	TrialsPROC	BP_018_H13-T_BA.png	2	2	15	SessionSelectionList														nonlure	3	Body	0-Back	13	80	12	0	0	100	2	38	65919	2	14	59	63881	-1	64558	1	677	3	3	2038	52	65933	-53	0																15												
WM080112	103111_fnca	2	1	1	-151089282	1	75.030	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	878.6	1	726.1	1	1068	1	552.6	1	893.4	1	671.4	0.9	743.555555555556	1	624.2	12	315912	3	315901	27	39	315939	-999999	315915	0	26	TrialsPROC	BP_014_BP9_BA.png	2	2	16	SessionSelectionList														nonlure	3	Body	0-Back	14	80	13	0	0	100	3	39	68478	2	14	58	66439	-1	67191	1	752	3	3	2039	53	68492	-54	0																16												
WM080112	103111_fnca	2	1	1	-151089282	1	75.030	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	878.6	1	726.1	1	1068	1	552.6	1	893.4	1	671.4	0.9	743.555555555556	1	624.2	12	315912	3	315901	27	39	315939	-999999	315915	0	26	TrialsPROC	BP_018_H13-T_BA.png	2	2	17	SessionSelectionList														lure	3	Body	0-Back	15	80	14	0	0	100	4	39	71037	2	14	59	68998	-1	69985	1	987	3	3	2039	53	71051	-54	0																17												
WM080112	103111_fnca	2	1	1	-151089282	1	75.030	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	878.6	1	726.1	1	1068	1	552.6	1	893.4	1	671.4	0.9	743.555555555556	1	624.2	12	315912	3	315901	27	39	315939	-999999	315915	0	26	TrialsPROC	BP_013_BP7_BA.png	2	2	18	SessionSelectionList														target	2	Body	0-Back	16	80	15	0	0	100	1	38	73596	2	14	60	71558	-1	72282	1	724	2	2	2038	52	73610	-53	0																18												
WM080112	103111_fnca	2	1	1	-151089282	1	75.030	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	878.6	1	726.1	1	1068	1	552.6	1	893.4	1	671.4	0.9	743.555555555556	1	624.2	12	315912	3	315901	27	39	315939	-999999	315915	0	26	TrialsPROC	BP_015_H10-T_BA.png	2	2	19	SessionSelectionList														lure	3	Body	0-Back	17	80	16	0	0	100	1	39	76155	2	14	58	74116	-1	74702	1	586	3	3	2039	53	76169	-54	0																19												
WM080112	103111_fnca	2	1	1	-151089282	1	75.030	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	878.6	1	726.1	1	1068	1	552.6	1	893.4	1	671.4	0.9	743.555555555556	1	624.2	12	315912	3	315901	27	39	315939	-999999	315915	0	26	TrialsPROC	BP_016_H11-T_BA.png	2	2	20	SessionSelectionList														nonlure	3	Body	0-Back	18	80	17	0	0	100	2	38	78714	2	14	60	76676	-1	77175	1	499	3	3	2038	52	78728	-53	0																20												
WM080112	103111_fnca	2	1	1	-151089282	1	75.030	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	878.6	1	726.1	1	1068	1	552.6	1	893.4	1	671.4	0.9	743.555555555556	1	624.2	12	315912	3	315901	27	39	315939	-999999	315915	0	26	TrialsPROC	BP_013_BP7_BA.png	2	2	21	SessionSelectionList														target	2	Body	0-Back	19	80	18	0	0	100	1	39	81273	2	14	58	79234	-1	79871	1	637	2	2	2039	53	81287	-54	0																21												
WM080112	103111_fnca	2	1	1	-151089282	1	75.030	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	878.6	1	726.1	1	1068	1	552.6	1	893.4	1	671.4	0.9	743.555555555556	1	624.2	12	315912	3	315901	27	39	315939	-999999	315915	0	26	TrialsPROC	BP_017_H12-T_BA.png	2	2	22	SessionSelectionList														nonlure	3	Body	0-Back	20	80	19	0	0	100	1	39	83832	2	14	59	81793	-1	82310	1	517	3	3	2039	53	83846	-54	0																22												
WM080112	103111_fnca	2	1	1	-151089282	1	75.030	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	878.6	1	726.1	1	1068	1	552.6	1	893.4	1	671.4	0.9	743.555555555556	1	624.2	12	315912	3	315901	27	39	315939	-999999	315915	0	26	TrialsPROC	BP_014_BP9_BA.png	2	2	23	SessionSelectionList														lure	3	Body	0-Back	21	80	20	0	0	100	2	39	86391	2	14	59	84352	-1	85046	1	694	3	3	2039	53	86405	-54	0																23												
WM080112	103111_fnca	2	1	1	-151089282	1	75.030	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	878.6	1	726.1	1	1068	1	552.6	1	893.4	1	671.4	0.9	743.555555555556	1	624.2	12	315912	3	315901	27	39	315939	-999999	315915	0	27	Fix15secPROC	""	2	2	24	SessionSelectionList																																															6	86858	-7	0							24												
